frequency_Hz,Zreal_Ohm,Zimag_Ohm
100000.0,4.500055091686215,-0.07327931954720857
76442.22742526009,4.50898065065565,-0.09567301607152555
58434.14133735175,4.497343753536269,-0.12548335224975032
44668.359215096345,4.49228276128048,-0.16434297187996366
34145.488738336004,4.505824816461903,-0.2143529218831946
26101.572156825387,4.507105777175353,-0.2803517731484552
19952.62314968879,4.494033583868366,-0.36786121888292955
15252.229565390198,4.498399823031005,-0.48086178948085273
11659.144011798311,4.512665885582725,-0.6272857279037516
8912.509381337459,4.508174771840534,-0.8219225720978537
6812.920690579608,4.502845968386433,-1.0776117237708196
5207.948328595465,4.521930159368234,-1.40626588733001
3981.0717055349733,4.5432991850173305,-1.8365598735829336
3043.219887107722,4.55508680715274,-2.408769905661552
2326.305067153626,4.594410692094451,-3.151682817434053
1778.2794100389228,4.680713525090493,-4.107355354460758
1359.3563908785254,4.802579386107505,-5.368072094071354
1039.122303835169,4.9984076105201245,-7.027576907695561
794.3282347242813,5.362270080332759,-9.147364997798613
607.2021956909883,5.982961450049201,-11.860268583633063
464.15888336127773,6.989515338924087,-15.38034905661313
354.8133892335753,8.666384977305094,-19.79382312575687
271.2272579332027,11.44982417649624,-25.05107900202898
207.3321573485954,15.82009170031653,-31.142292379321205
158.48931924611142,22.29087386670739,-37.722248532100075
121.15276586285889,31.36267329726951,-43.63321751978535
92.61187281287937,42.895168379977925,-47.53554515872972
70.79457843841381,55.506540176001174,-48.657198012267486
54.116952654646376,67.49719046461054,-46.67784664843001
41.36820402388507,77.84906360610054,-42.119340447382086
31.622776601683793,85.71700672679097,-36.53517898791843
24.173154808041037,90.79588814622875,-31.2824956081292
18.478497974222908,94.09808097419075,-26.88616036533696
14.12537544622754,96.53487865729251,-23.63769408531318
10.797751623277094,97.94049378881651,-21.83883842426896
8.25404185268019,98.52681952700492,-21.545660523651517
6.30957344480193,99.22621877533841,-22.663864512818154
4.823178482239309,100.12269308584828,-25.322175328527692
3.6869450645195734,100.72183458353277,-29.89027599261529
2.818382931264455,101.55340037718331,-36.62961461114851
2.154434690031882,103.51032096666721,-45.74824998457467
1.646897865482869,106.58143422822457,-57.93245022928015
1.2589254117941662,111.1027710121392,-74.09963066272546
0.9623506263980888,118.97637340721624,-94.47832494429497
0.7356422544596406,132.37132022972546,-118.97561060365967
0.5623413251903491,152.9647162909365,-147.7152651630801
0.4298662347082272,183.41247972967062,-178.75364910435644
0.3285993247600654,226.87055174991565,-206.47559067435307
0.25118864315095824,282.3539765316402,-224.87305539376104
0.1920141938638801,342.908798554763,-229.82607795208256
0.14677992676220705,401.3069331971456,-218.8564184540043
0.1122018454301963,452.51679602378687,-194.52472723182134
0.08576958985908946,491.018497547852,-164.42598872224207
0.06556418494179785,515.6811598615084,-134.48451607832507
0.05011872336272725,532.414234500111,-107.02100067475779
0.03831186849557285,544.6108203701292,-83.54504615920025
0.029286445646252372,550.7047829029577,-64.82329344828692
0.022387211385683378,552.9599247560162,-50.116280458506715
0.01711328304161781,556.0593081536565,-38.44360938437883
0.013081774742601929,558.7219840995634,-29.403034207551958
0.01,558.2502002065539,-22.56565004977329
